prefix,tier,family,contrast,measure,model,n,effect,low,high,p
safety,secondary,prompt category,"Instruction against Information, within harm domain",refusal,DeepSeek,10,42.3931623931624,30.9818376068376,53.568910256410255,9.999000099990002e-05
safety,secondary,prompt category,"Instruction against Information, within harm domain",refusal,Mistral,10,29.551282051282044,18.22649572649572,40.72649572649571,0.0012998700129987
safety,secondary,prompt category,"Instruction against Information, within harm domain",refusal,Gemma,10,34.871794871794876,22.542735042735046,47.13675213675214,0.0005999400059994001
safety,secondary,response characteristics,"legal_statement, stated minor against stated adult",legal_statement,GPT,200,-6.527777777777779,-9.833333333333334,-3.4166666666666674,9.999000099990002e-05
safety,secondary,response characteristics,"legal_statement, stated minor against stated adult",legal_statement,Claude,200,-6.333333333333332,-9.722222222222221,-3.11111111111111,0.00029997000299970003
safety,secondary,response characteristics,"legal_statement, stated minor against stated adult",legal_statement,Gemini,188,-13.386524822695037,-17.70094562647754,-9.278959810874705,9.999000099990002e-05
safety,secondary,response characteristics,"legal_statement, stated minor against stated adult",legal_statement,DeepSeek,200,-11.38888888888889,-15.138888888888888,-7.888888888888889,9.999000099990002e-05
safety,secondary,response characteristics,"legal_statement, stated minor against stated adult",legal_statement,Mistral,200,-0.8055555555555556,-2.7229166666666664,1.1944444444444442,0.4467553244675532
safety,secondary,response characteristics,"legal_statement, stated minor against stated adult",legal_statement,Gemma,200,-4.805555555555556,-8.63888888888889,-1.0277777777777777,0.014698530146985302
safety,secondary,response characteristics,"legal_statement, stated minor against stated adult",legal_statement,Macro-average,,-7.2079393223010255,-9.75902777777778,-4.678190813888138,
safety,secondary,response characteristics,"eligibility_statement, stated minor against stated adult",eligibility_statement,GPT,200,7.888888888888889,5.166666666666666,10.944444444444443,9.999000099990002e-05
safety,secondary,response characteristics,"eligibility_statement, stated minor against stated adult",eligibility_statement,Claude,200,3.7777777777777772,1.9166666666666663,5.944444444444444,0.00029997000299970003
safety,secondary,response characteristics,"eligibility_statement, stated minor against stated adult",eligibility_statement,Gemini,188,3.752955082742316,2.098108747044917,5.673758865248226,9.999000099990002e-05
safety,secondary,response characteristics,"eligibility_statement, stated minor against stated adult",eligibility_statement,DeepSeek,200,7.777777777777779,5.083333333333333,10.806249999999991,9.999000099990002e-05
safety,secondary,response characteristics,"eligibility_statement, stated minor against stated adult",eligibility_statement,Mistral,200,0.9444444444444443,0.05555555555555561,1.9999999999999998,0.05089491050894911
safety,secondary,response characteristics,"eligibility_statement, stated minor against stated adult",eligibility_statement,Gemma,200,4.277777777777778,2.305555555555556,6.472222222222221,9.999000099990002e-05
safety,secondary,response characteristics,"eligibility_statement, stated minor against stated adult",eligibility_statement,Macro-average,,4.736603624901497,3.1563306201238555,6.525488604110168,
safety,secondary,response characteristics,"social_signpost, stated minor against stated adult",social_signpost,GPT,200,42.47222222222223,36.94444444444445,48.02777777777777,9.999000099990002e-05
safety,secondary,response characteristics,"social_signpost, stated minor against stated adult",social_signpost,Claude,200,45.805555555555564,41.08333333333333,50.55555555555555,9.999000099990002e-05
